Team,Average,Std,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ARI,124.6,24,101.78,109.740005,179.66,131.82,130.65999,110.8,99.44,109.44,116.82,116.240005,,106.92,149.68001,118.46,102.24,166.73999,143.08
ATL,121.02,26.54,119.42,117.78,91.62,92.6,133.35999,105.2,76.2,104.659996,133.80002,140.72,115.619995,,145.37999,153.64,88.64,154.08,163.66
BAL,123.8,26.69,159.46,106.340004,127.74,103.42,109.560005,151.36,113,122.439995,150.58,90.04,133.72,124.22,119.40001,,63.340004,141.81999,164.31999
BUF,126.67,18.22,137.18,125.64001,114.66,122.079994,148.45999,119.1,107.66,120.060005,163.85999,91.46,135.58,,118.56,150.52,108.8,126.04,137.12
CAR,128.35,24.51,111.54,125.8,107.54,135.38,141.86,113.12,112.3,149.14,112.55999,80,,113.88,149.98,148.12,125.880005,186.04,140.52
CHI,121.42,28.22,116.58,129.66,126.32,116.53999,134.22,128.22,,114.119995,66.7,76.700005,113.66,76.89999,133.86002,150.64,149.46,138.59999,170.56
CIN,130.12,24.01,127.92,135.23999,91.38,121.78,101.659996,113.9,95.68,143.36,162.55998,105.93999,140.58,,138.98,156.00002,123.86,154.65999,168.50002
CLE,129.78,30.82,90.78,96.240005,154.16,98.579994,114.34,124.3,97.9,82.6,157.62,,162.98,145.8,121.37999,186.08002,142.6,158.38,142.79999
DAL,129.73,25.51,118.58,119.64,103.84,165.9,134.94,95.22,,120.04,136.26001,99,165.08,132.86,154.72,134.76,87.54,168.26,139.08002
DEN,115.95,24.47,95.18001,105.2,90.36,87.76,147.54001,150.5,107.1,95.22,129.02,97.22,92.7,156.42,110.32001,,0,141.92,132.76001
DET,129.19,34.42,109.38,117.86,103.06,77.28001,,146.02,97,102.44,136.9,97.42,200.58002,112.12,126.1,182.96,130.34,170.41998,157.18001
GB,132.53,20.97,95.28,147.64,105.68,137.18,138.46,117.62,121.38,143.26,140.20001,,143.68,114.02,158.38,134.92,104.26,171.73999,146.81999
HOU,121.02,22.01,108.02,115.64,142.28,159.7,115.96,155.82,87.9,103.76,120.71999,87.63999,127.02,120.16,135.4,,93.740005,121.98001,140.59999
IND,127.08,23.08,87.88,149.24,85.96,126.82,135.06,126.82,116.8,145.23999,146.72,87.44001,140.18,109.82,150.70001,,133.7,151.38,139.5
JAX,136.26,28.31,161.08,118.54,138.46,156.9,113.06,126.42,122.96,146.95999,163.70001,82.4,143.28,,153.08,125.71999,97.3,130.18,200.16
KC,127.74,23.54,134.58,134.88,78.96,138.71999,127.95999,,100.12,163.83998,131.28,103.600006,152.98,123.1,119.08,173.78001,116.56,124.67999,119.8
LV,128.75,31.86,163.56,114.44,84.48,131.51999,91.36,119.22,109,78.84,136.38002,,124.880005,154.4,162.14,163.00002,91.64,173.21999,161.88
LAC,141.45,21.08,123.04,146.23999,146.56,142.78,,126.92,96.28,174.45999,149.79999,110.26,134.88,127.92,138.38,158.06001,158.24,167.98,161.38
LAR,130.09,33.76,134.32,68.64,200.18,94.18,154.16,,113.6,112.34,142.98,71.84,154.16,126.12,160.8,125.8,153,145.81999,123.560005
MIA,111.56,17.25,86.28,110.340004,117.88,110.71999,126.659996,,104.1,0,80,125.420006,124.9,110.86,88.1,138.90001,106.44,108.799995,133.98
MIN,133.12,25.56,85.78,124.64,93.68,136.48,134.56,,113.9,131.59999,150.87999,114.4,119.159996,145.02,146.51999,150.26,132.88,158.61998,191.58
NE,128.5,20.14,114.88,121.32,143.26,140.42,132.3,137.92,105.08,130.26,161.12001,88.93999,101.66,147.46,129.28,,113.16,130.68001,158.26001
NO,116.8,21.54,92.58,135.44,133.66,117.88,142.73999,109,122.7,106.34,108.58,72.34,84.700005,,119.28,109.060005,135.54,152.52,126.380005
NYG,116.1,28.7,103.58,142.96,149.66,100.979996,158.15999,127.52,55.74,108.16,101.4,93.36,,116.22,157.86,118.22,72.94,125.08,125.7
NYJ,128.71,25.81,124.02,134.74,140.12,90.88,119.060005,129.42,125.1,113,175.22,84.340004,160.87999,,96.4,155.96,117.939995,133.07999,159.18001
PHI,119.7,29.28,123.28,117.340004,77.28,118.67999,,140.72,58.64,135.24,117.5,106.84,139.06001,106.58,128.08,181.48001,84.86001,140.73999,138.82
PIT,123.91,24,137.66,101.04,105.86,134.22,150.66,124.12,99.88,133.86,,88.63999,108.78,111.68,125.380005,107.48,126.700005,139.94,186.72
SF,122.64,26.17,119.32,133.02,123.84,168.5,144.95999,134.6,108.5,108.64,,87.64,94.1,116.16,101.380005,168.88,155.78,92.59999,104.3
SEA,126.22,19.42,128.96,124.24,113.88,95.38,130.36,113.7,142.9,120.24,132.78,,128.88,118.46,126.7,167.78001,91.14,157.61998,126.56
TB,119.86,24.56,120.48,154.44,106.16,144.18,154.65999,106.8,82.88,101.259995,89.82001,80.14,,129.52,134.98001,144.51999,103.9,134.68,129.4
TEN,120.53,23.2,97,85.34,106.22,124.92,,127.1,98.9,161.8,121.240005,95.840004,115.26,149.56,139.64,131.28,108.340004,106.32,159.66
WSH,121.88,25.49,98.66,111.64,105.76,121.72001,158.66,149.26,82.84,121.36,167.52,103.82,104.840004,142.36,136.68001,,107.759995,89.880005,147.38
