Team,1,2,3,4,5,6,7,8,9,10
ARI,BUF,LAR,DET,WSH,SF,GB,LAC,MIA,CHI,NYJ
ATL,PIT,PHI,KC,NO,TB,CAR,SEA,TB,DAL,NO
BAL,KC,LV,DAL,BUF,CIN,WSH,TB,CLE,DEN,CIN
BUF,ARI,MIA,JAX,BAL,HOU,NYJ,TEN,SEA,MIA,IND
CAR,NO,LAC,LV,CIN,CHI,ATL,WSH,DEN,NO,NYG
CHI,TEN,HOU,IND,LAR,CAR,JAX,BYE,WSH,ARI,NE
CIN,NE,KC,WSH,CAR,BAL,NYG,CLE,PHI,LV,BAL
CLE,DAL,JAX,NYG,LV,WSH,PHI,CIN,BAL,LAC,BYE
DAL,CLE,NO,BAL,NYG,PIT,DET,BYE,SF,ATL,PHI
DEN,SEA,PIT,TB,NYJ,LV,LAC,NO,CAR,BAL,KC
DET,LAR,TB,ARI,SEA,BYE,DAL,MIN,TEN,GB,HOU
GB,PHI,IND,TEN,MIN,LAR,ARI,HOU,JAX,DET,BYE
HOU,IND,CHI,MIN,JAX,BUF,NE,GB,IND,NYJ,DET
IND,HOU,GB,CHI,PIT,JAX,TEN,MIA,HOU,MIN,BUF
JAX,MIA,CLE,BUF,HOU,IND,CHI,NE,GB,PHI,MIN
KC,BAL,CIN,ATL,LAC,NO,BYE,SF,LV,TB,DEN
LV,LAC,BAL,CAR,CLE,DEN,PIT,LAR,KC,CIN,BYE
LAC,LV,CAR,PIT,KC,BYE,DEN,ARI,NO,CLE,TEN
LAR,DET,ARI,SF,CHI,GB,BYE,LV,MIN,SEA,MIA
MIA,JAX,BUF,SEA,TEN,NE,BYE,IND,ARI,BUF,LAR
MIN,NYG,SF,HOU,GB,NYJ,BYE,DET,LAR,IND,JAX
NE,CIN,SEA,NYJ,SF,MIA,HOU,JAX,NYJ,TEN,CHI
NO,CAR,DAL,PHI,ATL,KC,TB,DEN,LAC,CAR,ATL
NYG,MIN,WSH,CLE,DAL,SEA,CIN,PHI,PIT,WSH,CAR
NYJ,SF,TEN,NE,DEN,MIN,BUF,PIT,NE,HOU,ARI
PHI,GB,ATL,NO,TB,BYE,CLE,NYG,CIN,JAX,DAL
PIT,ATL,DEN,LAC,IND,DAL,LV,NYJ,NYG,BYE,WSH
SF,NYJ,MIN,LAR,NE,ARI,SEA,KC,DAL,BYE,TB
SEA,DEN,NE,MIA,DET,NYG,SF,ATL,BUF,LAR,BYE
TB,WSH,DET,DEN,PHI,ATL,NO,BAL,ATL,KC,SF
TEN,CHI,NYJ,GB,MIA,BYE,IND,BUF,DET,NE,LAC
WSH,TB,NYG,CIN,ARI,CLE,BAL,CAR,CHI,NYG,PIT
