Team,1,2,3,4,5,6,7,8,9,10,11
ARI,BUF,LAR,DET,WSH,SF,GB,LAC,MIA,CHI,NYJ,BYE
ATL,PIT,PHI,KC,NO,TB,CAR,SEA,TB,DAL,NO,DEN
BAL,KC,LV,DAL,BUF,CIN,WSH,TB,CLE,DEN,CIN,PIT
BUF,ARI,MIA,JAX,BAL,HOU,NYJ,TEN,SEA,MIA,IND,KC
CAR,NO,LAC,LV,CIN,CHI,ATL,WSH,DEN,NO,NYG,BYE
CHI,TEN,HOU,IND,LAR,CAR,JAX,BYE,WSH,ARI,NE,GB
CIN,NE,KC,WSH,CAR,BAL,NYG,CLE,PHI,LV,BAL,LAC
CLE,DAL,JAX,NYG,LV,WSH,PHI,CIN,BAL,LAC,BYE,NO
DAL,CLE,NO,BAL,NYG,PIT,DET,BYE,SF,ATL,PHI,HOU
DEN,SEA,PIT,TB,NYJ,LV,LAC,NO,CAR,BAL,KC,ATL
DET,LAR,TB,ARI,SEA,BYE,DAL,MIN,TEN,GB,HOU,JAX
GB,PHI,IND,TEN,MIN,LAR,ARI,HOU,JAX,DET,BYE,CHI
HOU,IND,CHI,MIN,JAX,BUF,NE,GB,IND,NYJ,DET,DAL
IND,HOU,GB,CHI,PIT,JAX,TEN,MIA,HOU,MIN,BUF,NYJ
JAX,MIA,CLE,BUF,HOU,IND,CHI,NE,GB,PHI,MIN,DET
KC,BAL,CIN,ATL,LAC,NO,BYE,SF,LV,TB,DEN,BUF
LV,LAC,BAL,CAR,CLE,DEN,PIT,LAR,KC,CIN,BYE,MIA
LAC,LV,CAR,PIT,KC,BYE,DEN,ARI,NO,CLE,TEN,CIN
LAR,DET,ARI,SF,CHI,GB,BYE,LV,MIN,SEA,MIA,NE
MIA,JAX,BUF,SEA,TEN,NE,BYE,IND,ARI,BUF,LAR,LV
MIN,NYG,SF,HOU,GB,NYJ,BYE,DET,LAR,IND,JAX,TEN
NE,CIN,SEA,NYJ,SF,MIA,HOU,JAX,NYJ,TEN,CHI,LAR
NO,CAR,DAL,PHI,ATL,KC,TB,DEN,LAC,CAR,ATL,CLE
NYG,MIN,WSH,CLE,DAL,SEA,CIN,PHI,PIT,WSH,CAR,BYE
NYJ,SF,TEN,NE,DEN,MIN,BUF,PIT,NE,HOU,ARI,IND
PHI,GB,ATL,NO,TB,BYE,CLE,NYG,CIN,JAX,DAL,WSH
PIT,ATL,DEN,LAC,IND,DAL,LV,NYJ,NYG,BYE,WSH,BAL
SF,NYJ,MIN,LAR,NE,ARI,SEA,KC,DAL,BYE,TB,SEA
SEA,DEN,NE,MIA,DET,NYG,SF,ATL,BUF,LAR,BYE,SF
TB,WSH,DET,DEN,PHI,ATL,NO,BAL,ATL,KC,SF,BYE
TEN,CHI,NYJ,GB,MIA,BYE,IND,BUF,DET,NE,LAC,MIN
WSH,TB,NYG,CIN,ARI,CLE,BAL,CAR,CHI,NYG,PIT,PHI
